                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96489,                0.83647,                0.99961,                 1.4898,              0.0033307,              0.0033307,              0.0033307
                      2,                0.59152,                0.87916,                 0.9998,                 1.4408,              0.0065981,              0.0065981,              0.0065981
                      3,                0.57962,                0.88249,                0.99961,                 1.4527,              0.0097994,              0.0097994,              0.0097994
                      4,                0.55385,                0.90756,                 0.9998,                 1.4088,               0.009703,               0.009703,               0.009703
                      5,                0.46586,                0.90815,                      1,                 1.3864,               0.009604,               0.009604,               0.009604
                      6,                0.41445,                0.93713,                 0.9998,                 1.3674,               0.009505,               0.009505,               0.009505
                      7,                0.38856,                0.92714,                      1,                 1.3755,               0.009406,               0.009406,               0.009406
                      8,                0.37508,                0.92362,                 0.9998,                 1.3844,               0.009307,               0.009307,               0.009307
                      9,                0.35989,                0.93948,                      1,                  1.362,               0.009208,               0.009208,               0.009208
                     10,                0.35453,                0.94418,                      1,                 1.3524,               0.009109,               0.009109,               0.009109
                     11,                0.35611,                0.94967,                      1,                 1.3558,                0.00901,                0.00901,                0.00901
                     12,                0.33654,                0.95731,                      1,                 1.3438,               0.008911,               0.008911,               0.008911
                     13,                0.33435,                0.95613,                      1,                 1.3451,               0.008812,               0.008812,               0.008812
                     14,                0.31438,                0.95378,                      1,                 1.3374,               0.008713,               0.008713,               0.008713
                     15,                0.30891,                0.95828,                      1,                 1.3342,               0.008614,               0.008614,               0.008614
                     16,                0.31125,                0.95828,                      1,                 1.3339,               0.008515,               0.008515,               0.008515
                     17,                0.31929,                0.96063,                      1,                 1.3319,               0.008416,               0.008416,               0.008416
                     18,                 0.3031,                0.95828,                      1,                 1.3352,               0.008317,               0.008317,               0.008317
                     19,                0.30667,                0.96298,                      1,                 1.3289,               0.008218,               0.008218,               0.008218
                     20,                0.29514,                0.95966,                      1,                 1.3322,               0.008119,               0.008119,               0.008119
                     21,                0.29219,                0.96259,                      1,                 1.3298,                0.00802,                0.00802,                0.00802
                     22,                0.29451,                 0.9622,                      1,                 1.3305,               0.007921,               0.007921,               0.007921
                     23,                0.27954,                0.96259,                      1,                  1.329,               0.007822,               0.007822,               0.007822
                     24,                0.27682,                0.95828,                      1,                  1.329,               0.007723,               0.007723,               0.007723
                     25,                0.27784,                0.96455,                      1,                 1.3256,               0.007624,               0.007624,               0.007624
                     26,                0.28052,                0.96259,                      1,                 1.3277,               0.007525,               0.007525,               0.007525
                     27,                 0.2739,                0.96436,                      1,                 1.3243,               0.007426,               0.007426,               0.007426
                     28,                0.26257,                0.96298,                      1,                 1.3255,               0.007327,               0.007327,               0.007327
                     29,                0.27083,                0.96396,                      1,                 1.3242,               0.007228,               0.007228,               0.007228
                     30,                0.27547,                 0.9624,                      1,                 1.3254,               0.007129,               0.007129,               0.007129
                     31,                0.27005,                0.96279,                      1,                 1.3241,                0.00703,                0.00703,                0.00703
                     32,                0.26974,                0.96455,                      1,                 1.3236,               0.006931,               0.006931,               0.006931
                     33,                0.26826,                0.96631,                      1,                 1.3225,               0.006832,               0.006832,               0.006832
                     34,                0.26664,                0.96573,                      1,                 1.3212,               0.006733,               0.006733,               0.006733
                     35,                0.26269,                0.96788,                      1,                 1.3204,               0.006634,               0.006634,               0.006634
                     36,                0.26431,                0.96827,                      1,                 1.3202,               0.006535,               0.006535,               0.006535
                     37,                0.25629,                0.96906,                      1,                 1.3192,               0.006436,               0.006436,               0.006436
                     38,                0.26464,                0.96769,                      1,                 1.3191,               0.006337,               0.006337,               0.006337
                     39,                0.25186,                 0.9669,                      1,                 1.3188,               0.006238,               0.006238,               0.006238
                     40,                0.24936,                 0.9671,                      1,                 1.3192,               0.006139,               0.006139,               0.006139
                     41,                0.25433,                0.96866,                      1,                 1.3191,                0.00604,                0.00604,                0.00604
                     42,                0.25108,                0.96729,                      1,                 1.3188,               0.005941,               0.005941,               0.005941
                     43,                0.24689,                0.96847,                      1,                 1.3181,               0.005842,               0.005842,               0.005842
                     44,                0.24549,                0.96847,                      1,                 1.3174,               0.005743,               0.005743,               0.005743
                     45,                0.24413,                0.96866,                      1,                  1.317,               0.005644,               0.005644,               0.005644
                     46,                 0.2429,                0.96964,                      1,                 1.3169,               0.005545,               0.005545,               0.005545
                     47,                0.24959,                0.96925,                      1,                  1.317,               0.005446,               0.005446,               0.005446
                     48,                 0.2324,                0.96945,                      1,                 1.3174,               0.005347,               0.005347,               0.005347
                     49,                0.23012,                0.96925,                      1,                 1.3172,               0.005248,               0.005248,               0.005248
                     50,                0.24343,                0.96866,                      1,                 1.3168,               0.005149,               0.005149,               0.005149
                     51,                0.23752,                0.96925,                      1,                  1.317,                0.00505,                0.00505,                0.00505
                     52,                 0.2372,                0.96886,                      1,                 1.3168,               0.004951,               0.004951,               0.004951
                     53,                0.24076,                0.96945,                      1,                 1.3168,               0.004852,               0.004852,               0.004852
                     54,                0.23231,                0.96906,                      1,                 1.3168,               0.004753,               0.004753,               0.004753
                     55,                0.23667,                0.96945,                      1,                  1.317,               0.004654,               0.004654,               0.004654
                     56,                0.22773,                0.96984,                      1,                 1.3167,               0.004555,               0.004555,               0.004555
                     57,                0.22935,                0.97004,                      1,                 1.3165,               0.004456,               0.004456,               0.004456
                     58,                0.22746,                0.97082,                      1,                 1.3165,               0.004357,               0.004357,               0.004357
                     59,                0.23343,                0.97043,                      1,                 1.3164,               0.004258,               0.004258,               0.004258
                     60,                0.22606,                0.97023,                      1,                 1.3165,               0.004159,               0.004159,               0.004159
                     61,                 0.2215,                0.97004,                      1,                 1.3162,                0.00406,                0.00406,                0.00406
                     62,                 0.2263,                0.96964,                      1,                 1.3165,               0.003961,               0.003961,               0.003961
                     63,                0.22105,                0.96984,                      1,                 1.3161,               0.003862,               0.003862,               0.003862
                     64,                0.21768,                0.96984,                      1,                 1.3159,               0.003763,               0.003763,               0.003763
                     65,                 0.2192,                0.96984,                      1,                 1.3159,               0.003664,               0.003664,               0.003664
                     66,                0.21535,                0.96984,                      1,                 1.3156,               0.003565,               0.003565,               0.003565
                     67,                0.21478,                0.96984,                      1,                 1.3155,               0.003466,               0.003466,               0.003466
                     68,                0.20651,                0.97004,                      1,                 1.3153,               0.003367,               0.003367,               0.003367
                     69,                0.21128,                0.97062,                      1,                 1.3154,               0.003268,               0.003268,               0.003268
                     70,                0.21887,                0.97023,                      1,                 1.3154,               0.003169,               0.003169,               0.003169
                     71,                0.20815,                0.97004,                      1,                 1.3153,                0.00307,                0.00307,                0.00307
                     72,                0.20349,                0.97023,                      1,                 1.3151,               0.002971,               0.002971,               0.002971
                     73,                0.20808,                0.96964,                      1,                 1.3152,               0.002872,               0.002872,               0.002872
                     74,                0.20519,                0.97023,                      1,                 1.3151,               0.002773,               0.002773,               0.002773
                     75,                0.19919,                0.97004,                      1,                 1.3151,               0.002674,               0.002674,               0.002674
                     76,                0.19725,                0.97043,                      1,                 1.3149,               0.002575,               0.002575,               0.002575
                     77,                0.19286,                0.97023,                      1,                 1.3149,               0.002476,               0.002476,               0.002476
                     78,                0.19642,                0.97062,                      1,                 1.3147,               0.002377,               0.002377,               0.002377
                     79,                0.20025,                0.97023,                      1,                 1.3146,               0.002278,               0.002278,               0.002278
                     80,                0.19347,                0.97023,                      1,                 1.3145,               0.002179,               0.002179,               0.002179
                     81,                 0.1897,                0.97004,                      1,                 1.3145,                0.00208,                0.00208,                0.00208
                     82,                0.18991,                0.97004,                      1,                 1.3144,               0.001981,               0.001981,               0.001981
                     83,                0.18467,                0.96984,                      1,                 1.3144,               0.001882,               0.001882,               0.001882
                     84,                0.19096,                0.97004,                      1,                 1.3142,               0.001783,               0.001783,               0.001783
                     85,                0.17821,                0.97043,                      1,                 1.3143,               0.001684,               0.001684,               0.001684
                     86,                0.18539,                0.97023,                      1,                 1.3141,               0.001585,               0.001585,               0.001585
                     87,                0.17617,                0.97062,                      1,                 1.3141,               0.001486,               0.001486,               0.001486
                     88,                0.18014,                0.97082,                      1,                 1.3139,               0.001387,               0.001387,               0.001387
                     89,                0.17904,                0.97062,                      1,                 1.3141,               0.001288,               0.001288,               0.001288
                     90,                0.17477,                 0.9716,                      1,                 1.3139,               0.001189,               0.001189,               0.001189
                     91,                0.17794,                 0.9716,                      1,                 1.3138,                0.00109,                0.00109,                0.00109
                     92,                0.17425,                0.97141,                      1,                 1.3135,               0.000991,               0.000991,               0.000991
                     93,                0.16813,                0.97141,                      1,                 1.3135,               0.000892,               0.000892,               0.000892
                     94,                0.17172,                0.97121,                      1,                 1.3134,               0.000793,               0.000793,               0.000793
                     95,                0.16881,                0.97141,                      1,                 1.3133,               0.000694,               0.000694,               0.000694
                     96,                0.15994,                0.97141,                      1,                 1.3134,               0.000595,               0.000595,               0.000595
                     97,                0.16454,                0.97141,                      1,                  1.313,               0.000496,               0.000496,               0.000496
                     98,                 0.1682,                 0.9716,                      1,                  1.313,               0.000397,               0.000397,               0.000397
                     99,                0.16227,                 0.9716,                      1,                 1.3131,               0.000298,               0.000298,               0.000298
                    100,                0.15803,                0.97199,                      1,                 1.3129,               0.000199,               0.000199,               0.000199
